ontology,root,fragment,text,statements,llm_used
envo,http://purl.obolibrary.org/obo/ENVO_03400011,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:hail rdfs:subClassOf [ owl:intersectionOf [ rdf:first :object_aggregate ;
                    rdf:rest [ rdf:first [ a owl:Restriction ;
                                    owl:onProperty :has_member ;
                                    owl:someValuesFrom :hail_stone ] ;
                            rdf:rest :nil ] ] ] ;
    :has_definition ""Precipitation which is composed primarily of hail stones.""@en .

",Hail is a type of precipitation that is composed primarily of hailstones. This classification intersects with objects that are aggregates and with entities that have at least some hailstone as a member.,2,True
envo,http://purl.obolibrary.org/obo/ENVO_03400012,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:hail_stone rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :derives_from ;
            owl:someValuesFrom [ a owl:Restriction ;
                    owl:onProperty :part_of ;
                    owl:someValuesFrom :cloud ] ],
        :ice_mass ;
    :has_definition ""An ice mass which 1) occurs in a ball-shape or irregular lump, 2) has a minimum diameter of 5 millimeters (or 0.2 inches), and 3) is formed within convective clouds.""@en .

","A hail stone is a type of ice mass, which is also a type of entity that derives from something that is at least partially part of a cloud. It is defined as an ice mass that 1) takes the form of a ball shape or an irregular lump, 2) has a minimum diameter of 5 millimeters (or 0.2 inches), and 3) forms within convective clouds.",3,True
envo,http://purl.obolibrary.org/obo/ENVO_03400013,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:falling_snow rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :composed_primarily_of ;
            owl:someValuesFrom :snow ],
        :object_aggregate ;
    :has_broad_synonym ""snowfall""@en ;
    :has_definition ""An object aggregate which is composed primarily of snow falling through an atmosphere.""@en .

","Falling snow is an object aggregate and is primarily composed of snow. It is defined as an object aggregate composed primarily of snow falling through an atmosphere. Additionally, falling snow has a broad synonym: snowfall.",4,True
envo,http://purl.obolibrary.org/obo/ENVO_03400014,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:precipitation_of_sleet rdfs:subClassOf :hydrological_precipitation_process ;
    :has_broad_synonym ""sleet""@en ;
    :has_definition ""A hydrological precipitation process during which water falls in both liquid and frozen form.""@en ;
    :has_exact_synonym ""sleet fall""@en .

","Precipitation of sleet, also broadly known as sleet and more precisely referred to as sleet fall, is a type of hydrological precipitation process. It is defined as a hydrological precipitation process during which water falls in both liquid and frozen form.",4,True
envo,http://purl.obolibrary.org/obo/ENVO_03400015,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:sleet_pellet rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :composed_primarily_of ;
            owl:someValuesFrom [ owl:unionOf [ rdf:first :raindrop ;
                            rdf:rest [ rdf:first :snow_crystal ;
                                    rdf:rest :nil ] ] ] ],
        :ice_mass ;
    :has_broad_synonym ""sleet""@en ;
    :has_definition ""An ice mass which is primarily composed of frozen or mostly frozen raindrops or refrozen partially melted snowflakes.""@en .

","A sleet pellet is a type of ice mass and is also broadly synonymous with sleet. It is defined as an ice mass primarily composed of frozen or mostly frozen raindrops or refrozen partially melted snowflakes. Furthermore, a sleet pellet is a type of entity that is at least composed primarily of a union of raindrops and snow crystals.",4,True
envo,http://purl.obolibrary.org/obo/ENVO_03400016,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:area_of_ice_cover rdfs:subClassOf :environmental_zone ;
    :has_definition ""An environmental zone which is covered or partially covered by ice.""@en .

","The area of ice cover is a type of environmental zone, defined as an environmental zone that is covered or partially covered by ice.",2,True
envo,http://purl.obolibrary.org/obo/ENVO_03400017,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:depth_of_water_ice rdfs:subClassOf [ owl:intersectionOf [ rdf:first :depth ;
                    rdf:rest [ rdf:first [ a owl:Restriction ;
                                    owl:onProperty :characteristic_of ;
                                    owl:someValuesFrom :water_ice ] ;
                            rdf:rest :nil ] ] ] ;
    :has_definition ""The depth of some water ice.""@en .

",The depth of water ice is defined as the depth of some water ice. It is a type of intersection that involves depth and at least one characteristic of some water ice.,2,True
envo,http://purl.obolibrary.org/obo/ENVO_03500001,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:playground rdfs:subClassOf :park ;
    :has_definition ""A park which has been designed for the recreation of children."" .

",A playground is a type of park defined as a park designed for the recreation of children.,2,True
envo,http://purl.obolibrary.org/obo/ENVO_03500002,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:public_park rdfs:subClassOf :park ;
    :has_definition ""A park which is owned by a governmental or state entity and which is accessible by its citizenry (i.e. the public)."" .

","A public park is a type of park with a specific definition: it is a park owned by a governmental or state entity and is accessible by its citizenry, meaning the public.",2,True
envo,http://purl.obolibrary.org/obo/ENVO_03500003,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:public_sports_field rdfs:subClassOf :sports_facility ;
    :has_definition ""A sports facility which has been constructed for sports that require large outdoor spaces and is owned by a governmental or state entity and which is accessible by its citizenry (i.e. the public)."" .

","A public sports field is a type of sports facility with a specific definition. It is a sports facility constructed for sports that require large outdoor spaces. Moreover, it is owned by a governmental or state entity and is accessible by its citizenry, that is, the public.",2,True
envo,http://purl.obolibrary.org/obo/ENVO_03500004,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:bike_path rdfs:subClassOf :constructed_pavement ;
    :has_definition ""A constructed pavement which is intended for bicycle traffic"" .

",A bike path is a type of constructed pavement that is intended for bicycle traffic.,2,True
envo,http://purl.obolibrary.org/obo/ENVO_03500005,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:anthropogenic_litter rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :output_of ;
            owl:someValuesFrom :littering ],
        [ a owl:Restriction ;
            owl:onProperty :has_role ;
            owl:someValuesFrom :waste_role ],
        :material_entity ;
    :has_broad_synonym ""litter"",
        ""basura antropogénica""@es,
        ""rifiuti antropogenici""@it ;
    :has_definition ""A material entity which has been discarded outside waste management systems by humans or their technologies.""@en ;
    :has_exact_synonym ""anthropogener Abfall""@de,
        ""menschengemachter Abfall""@de .

","Anthropogenic litter is a type of material entity that serves the role of waste and is the output of littering. It is defined as a material entity discarded outside waste management systems by humans or their technologies. This concept is broadly synonymous with ""basura antropogénica,"" ""litter,"" and ""rifiuti antropogenici."" Additionally, its exact synonyms are ""anthropogener Abfall"" and ""menschengemachter Abfall.""",9,True
envo,http://purl.obolibrary.org/obo/ENVO_03500006,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:food_desert rdfs:subClassOf :anthropogenic_environment ;
    :has_definition ""An anthropogenic environment in which populations of humans have limited acess to affordable and nutritious food."" .

",A food desert is a type of anthropogenic environment that is defined as an anthropogenic environment where populations of humans have limited access to affordable and nutritious food.,2,True
envo,http://purl.obolibrary.org/obo/ENVO_03500007,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:noisy_environment rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :participates_in ;
            owl:someValuesFrom [ owl:intersectionOf [ rdf:first :process ;
                            rdf:rest [ rdf:first [ a owl:Restriction ;
                                            owl:onProperty :realizes ;
                                            owl:someValuesFrom :sound_wave_energy ] ;
                                    rdf:rest :nil ] ] ] ],
        :environmental_system_determined_by_a_quality ;
    :has_definition ""An environment in which entities are exposed to either excessive or constant sound."" .

",A noisy environment is categorized as a type of environmental system characterized by a specific quality. It is defined as an environment where entities are exposed to either constant or excessive sound. This classification also extends to being a type of entity that engages in an intersection of processes that at least realizes sound wave energy.,3,True
envo,http://purl.obolibrary.org/obo/ENVO_03500008,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:safe_environment_for_human_presence rdfs:subClassOf :safe_environment_for_living_organisms ;
    :has_definition ""An environment in which humans have a low likelihood of being harmed or killed."" .

","A safe environment for human presence, which is a type of safe environment for living organisms, is defined as an environment in which humans have a low likelihood of being harmed or killed.",2,True
envo,http://purl.obolibrary.org/obo/ENVO_03500009,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:attractive_environment rdfs:subClassOf :environmental_system_determined_by_a_quality ;
    :has_definition ""An environment which includes components which are deemed to be aesthetically pleasing by a population of humans."" .

",An attractive environment is a type of environmental system characterized by a specific quality. It is defined as an environment that includes components which are deemed to be aesthetically pleasing by a population of humans.,2,True
envo,http://purl.obolibrary.org/obo/ENVO_03500010,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:shady_environment rdfs:subClassOf :environmental_system_determined_by_a_quality ;
    :has_definition ""An environmental system which is shielded from direct stellar irradiation by material entities."" ;
    :has_exact_synonym ""shaded environment"" .

","A shady environment is a type of environmental system characterized by a specific quality. It is defined as an environmental system which is shielded from direct stellar irradiation by material entities. Additionally, a shady environment is exactly synonymous with a shaded environment.",3,True
envo,http://purl.obolibrary.org/obo/ENVO_03500011,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:violent_environment rdfs:subClassOf :environmental_system_determined_by_a_quality ;
    :has_definition ""An environment in which humans are exposed to regularly occurring physical or emotional violence."" .

",A violent environment is a category of environmental system characterized by a specific quality. It is defined as an environment in which humans are regularly exposed to physical or emotional violence.,2,True
envo,http://purl.obolibrary.org/obo/ENVO_03500012,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:ultrasound_radiation rdfs:subClassOf :acoustic_radiation ;
    :has_definition ""An acoustic radiation process during which waves that transmit sound energy at frequencies above 20 kHz are emitted by a source."" .

","Ultrasound radiation, which is a type of acoustic radiation, is defined as an acoustic radiation process during which waves that transmit sound energy at frequencies above 20 kHz are emitted by a source.",2,True
envo,http://purl.obolibrary.org/obo/ENVO_03500013,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:mid_infrared_radiation rdfs:subClassOf :infrared_radiation ;
    :has_definition ""An infrared radiation during which waves with frequencies between 30 THz and 120 THz and with wavelengths between 10 micrometers and 2.5 micrometers are emitted by a source."" .

",Mid-infrared radiation is a type of infrared radiation defined as the emission of waves from a source with frequencies between 30 THz and 120 THz and wavelengths ranging from 10 micrometers to 2.5 micrometers.,2,True
envo,http://purl.obolibrary.org/obo/ENVO_03500014,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:near_infrared_radiation rdfs:subClassOf :infrared_radiation ;
    :has_definition ""An infrared radiation during which waves with frequencies between 120 THz and 400 THz and with wavelengths between 2.5 micrometers and 750 nanometers are emitted by a source."" .

",Near infrared radiation is a type of infrared radiation defined as the infrared radiation during which waves are emitted by a source with frequencies between 120 THz and 400 THz and with wavelengths between 2.5 micrometers and 750 nanometers.,2,True
envo,http://purl.obolibrary.org/obo/ENVO_03500015,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:far_infrared_radiation rdfs:subClassOf :infrared_radiation ;
    :has_definition ""An infrared radiation which consists of waves with frequencies between 300 GHz and 30 THz and with wavelengths between 1 mm and 10 micrometers are emitted by a source."" .

","Far infrared radiation is a type of infrared radiation. It is defined as an infrared radiation which consists of waves with frequencies between 300 GHz and 30 THz and with wavelengths between 1 mm and 10 micrometers, emitted by a source.",2,True
envo,http://purl.obolibrary.org/obo/ENVO_03501100,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:ferry rdfs:subClassOf :merchant_vessel ;
    :has_definition ""A merchant vessel which is used to carry passengers, vehicles, or cargo across a body of water.""@en .

","A ferry is a type of merchant vessel defined as a merchant vessel used to carry passengers, vehicles, or cargo across a body of water.",2,True
envo,http://purl.obolibrary.org/obo/ENVO_03501101,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:outdoor_environment rdfs:subClassOf :environmental_system ;
    :has_definition ""An environmental system which is not sheltered.""@en .

",The outdoor environment is defined as an environmental system that is not sheltered.,2,True
envo,http://purl.obolibrary.org/obo/ENVO_03501102,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:polytunnel rdfs:subClassOf :industrial_building ;
    :has_definition ""An industrial building made from steel and covered in polyethylene used for plant cultivation.""@en ;
    :has_exact_synonym ""grow tunnel""@en,
        ""high tunnel""@en,
        ""hoop greenhouse""@en,
        ""hoophouse""@en,
        ""polyhouse""@en .

","A polytunnel is a type of industrial building characterized as an industrial structure made from steel and covered in polyethylene, specifically designed for plant cultivation. It is also known by several exact synonyms, including grow tunnel, high tunnel, hoop greenhouse, hoophouse, and polyhouse.",7,True
envo,http://purl.obolibrary.org/obo/ENVO_03501103,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:ambulance rdfs:subClassOf :motor_vehicle ;
    :has_definition ""A motor vehicle which is equipped with medical equipment and can be used to transport humans to treatment facilities.""@en .

",An ambulance is a type of motor vehicle that is equipped with medical equipment and can be used to transport humans to treatment facilities.,2,True
envo,http://purl.obolibrary.org/obo/ENVO_03501104,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:recreational_cruise_ship rdfs:subClassOf :boat ;
    :has_broad_synonym ""cruise ship""@en ;
    :has_definition ""A boat which provides short-term residential and entertainment facilities to passengers.""@en .

","A recreational cruise ship is a type of boat that provides short-term residential and entertainment facilities to passengers. It is also broadly synonymous with the term ""cruise ship"".",3,True
envo,http://purl.obolibrary.org/obo/ENVO_03501105,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:merchant_vessel rdfs:subClassOf :transport_boat ;
    :has_definition ""A transport boat which can be hired.""@en ;
    :has_exact_synonym ""merchant ship""@en,
        ""merchantman""@en,
        ""trading vessel""@en .

","A merchant vessel is a type of transport boat, which is defined as a transport boat that can be hired. It has exact synonyms including merchant ship, merchantman, and trading vessel.",5,True
envo,http://purl.obolibrary.org/obo/ENVO_03501107,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:train rdfs:subClassOf :vehicle ;
    :has_definition ""A vehicle which locomotes using rails and consists of a series of connected compartments used to transport passengers or cargo.""@en .

",A train is a type of vehicle defined as a vehicle which locomotes using rails and consists of a series of connected compartments used to transport passengers or cargo.,2,True
envo,http://purl.obolibrary.org/obo/ENVO_03501108,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:passenger_train rdfs:subClassOf :train ;
    :has_definition ""A train which is capable of and used for passenger transport.""@en .

",A passenger train is a type of train that is capable of and used for passenger transport.,2,True
envo,http://purl.obolibrary.org/obo/ENVO_03501109,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:subway_train rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :part_of ;
            owl:someValuesFrom :rapid_transit_system ],
        :passenger_train ;
    :has_definition ""A passenger train which runs along an undergroud rail system.""@en ;
    :has_exact_synonym ""subway""@en,
        ""tube train""@en,
        ""underground train""@en ;
    :has_narrow_synonym ""London Underground""@en,
        ""SkyTrain""@en,
        ""Tube""@en,
        ""U-Bahn""@en,
        ""Underground""@en,
        ""metropolitana""@en .

","A subway train is a type of passenger train that is also a part of some rapid transit system. It is defined as a passenger train which operates along an underground rail system. Furthermore, the term subway train is exactly synonymous with subway, tube train, and underground train. Additionally, it has narrow synonyms including London Underground, SkyTrain, Tube, U-Bahn, Underground, and metropolitana.",12,True
envo,http://purl.obolibrary.org/obo/ENVO_03501110,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:constructed_transport_system rdfs:subClassOf :system ;
    :has_definition ""A system which has components that have been constructed to allow the movement of people or goods.""@en .

",A constructed transport system is a type of system defined as a system which has components that have been constructed to allow the movement of people or goods.,2,True
envo,http://purl.obolibrary.org/obo/ENVO_03501111,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:public_transit_system rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :part_of ;
            owl:someValuesFrom :public_infrastructure ],
        [ a owl:Restriction ;
            owl:onProperty :participates_in ;
            owl:someValuesFrom :usage_of_an_environment_for_community_and_social_services ],
        :constructed_transport_system ;
    :has_definition ""A constructed transport system which is owned by a government or other form of public representation.""@en ;
    :has_exact_synonym ""public transport""@en,
        ""public transportation""@en .

","A public transit system is a type of constructed transport system that is considered at least part of public infrastructure and participates in the usage of an environment for community and social services. It is defined as a constructed transport system owned by a government or other form of public representation. Furthermore, the public transit system is exactly synonymous with both public transport and public transportation.",6,True
envo,http://purl.obolibrary.org/obo/ENVO_03501112,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:public_bus rdfs:subClassOf :bus ;
    :has_definition ""A bus which is part of public infrastructure.""@en ;
    :has_exact_synonym ""public autobus""@en,
        ""public motorbus""@en,
        ""public multibus""@en,
        ""public omnibus""@en .

","A public bus is a type of bus characterized by its role as part of public infrastructure. It is exactly synonymous with public autobus, public motorbus, public multibus, and public omnibus.",6,True
envo,http://purl.obolibrary.org/obo/ENVO_03501113,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:public_ferry rdfs:subClassOf :ferry ;
    :has_definition ""A ferry which is owned by a government or other form of public representation.""@en .

",A public ferry is a type of ferry defined as a ferry which is owned by a government or other form of public representation.,2,True
envo,http://purl.obolibrary.org/obo/ENVO_03501114,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:public_train rdfs:subClassOf :train ;
    :has_definition ""A train which is owned by a government or other form of public representation.""@en .

",A public train is a type of train with the definition of being a train that is owned by a government or another form of public representation.,2,True
envo,http://purl.obolibrary.org/obo/ENVO_03501115,"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:public_subway_train rdfs:subClassOf :subway_train ;
    :has_definition ""A subway train which is owned by a government or other form of public representation.""@en .

",A public subway train is a type of subway train that is defined as a subway train which is owned by a government or other form of public representation.,2,True
