ontology,root,fragment,text,llm_text,model,statements,unique_concepts,unique_relationships,total_relationships,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#equivalentClass,http://www.w3.org/2002/07/owl#intersectionOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#first,http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,http://www.w3.org/2002/07/owl#onProperty,http://www.w3.org/2002/07/owl#someValuesFrom,http://www.w3.org/2002/07/owl#onDatatype,http://www.w3.org/2002/07/owl#withRestrictions,http://www.w3.org/2001/XMLSchema#minExclusive,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/2002/07/owl#disjointWith,http://www.w3.org/2002/07/owl#hasValue,http://www.w3.org/2001/XMLSchema#maxExclusive,http://www.w3.org/2002/07/owl#oneOf,http://www.w3.org/2002/07/owl#maxQualifiedCardinality,http://www.w3.org/2002/07/owl#onClass,http://www.w3.org/2002/07/owl#minQualifiedCardinality,http://www.semanticweb.org/mdebe/ontologies/example#has_Age,http://www.semanticweb.org/mdebe/ontologies/example#has_Friend,http://www.semanticweb.org/mdebe/ontologies/example#has_Gender,http://www.semanticweb.org/mdebe/ontologies/example#has_Brother,http://www.semanticweb.org/mdebe/ontologies/example#has_Daughter,http://www.semanticweb.org/mdebe/ontologies/example#has_Sister,http://www.semanticweb.org/mdebe/ontologies/example#has_Wife
people,http://www.semanticweb.org/mdebe/ontologies/example#Woman,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .

:woman a owl:Class ;
    owl:equivalentClass [ a owl:Class ;
            owl:intersectionOf [ rdf:first :adult ;
                    rdf:rest [ rdf:first [ a owl:Restriction ;
                                    owl:hasValue :female ;
                                    owl:onProperty :has__gender ] ;
                            rdf:rest :nil ] ] ] .

","woman is same as all of (an adult, and must has gender a female).",A woman is the same as an adult who possesses the characteristic of being female.,llama3,1,7,7,11,3,1.0,1.0,2.0,2.0,1.0,,,,,,,1.0,,,,,,,,,,,,
people,http://www.semanticweb.org/mdebe/ontologies/example#Beth_Doe,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:beth__doe a owl:NamedIndividual,
        :person ;
    :has_age 32 .

",beth doe has age 32.,Beth Doe's age is exactly thirty-two years old.,llama3,1,3,2,3,2,,,,,,,,,,,,,,,,,,1.0,,,,,,
people,http://www.semanticweb.org/mdebe/ontologies/example#Daisy_Buchanan,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:daisy__buchanan a owl:NamedIndividual,
        :person ;
    :has_age 32 ;
    :has_friend :john__doe ;
    :has_gender :female .

","daisy buchanan has age 32.
daisy buchanan has friend a john doe.
daisy buchanan has gender a female.","Daisy Buchanan, who is 32 years old, identifies as a female and has a close relationship with John Doe, her friend.",llama3,3,5,4,5,2,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,
people,http://www.semanticweb.org/mdebe/ontologies/example#Female,"@prefix owl: <http://www.w3.org/2002/07/owl#> .

:female a owl:NamedIndividual,
        :gender .

",,,llama3,0,3,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,
people,http://www.semanticweb.org/mdebe/ontologies/example#Jay_Gatsby,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:jay__gatsby a owl:NamedIndividual,
        :person ;
    :has_age 42 ;
    :has_friend :beth__doe,
        :daisy__buchanan,
        :john__doe,
        :john__smith,
        :nick__carraway .

","jay gatsby has age 42.
jay gatsby has friend a beth doe.
jay gatsby has friend a daisy buchanan.
jay gatsby has friend a john doe.
jay gatsby has friend a john smith.
jay gatsby has friend a nick carraway.","Jay Gatsby, being 42 years old, is surrounded by a social circle that includes Beth Doe, Daisy Buchanan, John Doe, John Smith, and Nick Carraway, all of whom are his friends.",llama3,6,8,3,8,2,,,,,,,,,,,,,,,,,,1.0,5.0,,,,,
people,http://www.semanticweb.org/mdebe/ontologies/example#John_Doe,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:john__doe a owl:NamedIndividual,
        :person ;
    :has_age 34 ;
    :has_brother :tom__doe ;
    :has_daughter :mary__doe ;
    :has_friend :john__smith ;
    :has_sister :sarah__doe ;
    :has_wife :beth__doe .

","john doe has age 34.
john doe has brother a tom doe.
john doe has daughter a mary doe.
john doe has friend a john smith.
john doe has sister a sarah doe.
john doe has wife a beth doe.","John Doe is a 34-year-old individual who has a brother named Tom Doe, a daughter named Mary Doe, a friend named John Smith, a sister named Sarah Doe, and a wife named Beth Doe.",llama3,6,8,7,8,2,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0
people,http://www.semanticweb.org/mdebe/ontologies/example#John_Smith,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:john__smith a owl:NamedIndividual,
        :person ;
    :has_age 43 .

",john smith has age 43.,John Smith's age is forty-three years old.,llama3,1,3,2,3,2,,,,,,,,,,,,,,,,,,1.0,,,,,,
people,http://www.semanticweb.org/mdebe/ontologies/example#Male,"@prefix owl: <http://www.w3.org/2002/07/owl#> .

:male a owl:NamedIndividual .

",,,llama3,0,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
people,http://www.semanticweb.org/mdebe/ontologies/example#Mary_Doe,"@prefix owl: <http://www.w3.org/2002/07/owl#> .

:mary__doe a owl:NamedIndividual,
        :person ;
    :has_sister :susan__doe .

",mary doe has sister a susan doe.,Mary Doe has a sister named Susan Doe.,llama3,1,4,2,3,2,,,,,,,,,,,,,,,,,,,,,,,1.0,
people,http://www.semanticweb.org/mdebe/ontologies/example#Miss_Havisham,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:miss__havisham a owl:NamedIndividual,
        :person ;
    :has_age 65 ;
    :has_gender :female .

","miss havisham has age 65.
miss havisham has gender a female.",Miss Havisham is a 65-year-old woman.,llama3,2,4,3,4,2,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,
people,http://www.semanticweb.org/mdebe/ontologies/example#Nick_Carraway,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:nick__carraway a owl:NamedIndividual,
        :person ;
    :has_age 28 .

",nick carraway has age 28.,"Nick Carraway, the protagonist, has an age of twenty-eight years old.",llama3,1,3,2,3,2,,,,,,,,,,,,,,,,,,1.0,,,,,,
people,http://www.semanticweb.org/mdebe/ontologies/example#Sarah_Doe,"@prefix owl: <http://www.w3.org/2002/07/owl#> .

:sarah__doe a owl:NamedIndividual,
        :person .

",,,llama3,0,3,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,
people,http://www.semanticweb.org/mdebe/ontologies/example#Susan_Doe,"@prefix owl: <http://www.w3.org/2002/07/owl#> .

:susan__doe a owl:NamedIndividual,
        :person .

",,,llama3,0,3,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,
people,http://www.semanticweb.org/mdebe/ontologies/example#Tom_Doe,"@prefix owl: <http://www.w3.org/2002/07/owl#> .

:tom__doe a owl:NamedIndividual,
        :person .

",,,llama3,0,3,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,
